64,"Die Verlagerung des Waren- und
Güterverkehrs weg von der Straße ist anzustreben."
65,"Es ist sicherzustellen, daß über die Wahl
der Schulart das Leistungsvermögen
der Schüler entscheidet."
66,"Die im Zuge des „Bologna-Prozesses“ eingeführten Schritte
zur Schaffung eines gleichgeschalteten europäischen Hochschulraums sind rückgängig zu machen."
67,Der Schutz der deutschen Sprache muß Verfassungsrang erhalten.
68,"REFORM DES RECHTSSYSTEMS

Die Grundrechte müssen in unserem Land
für jeden Deutschen, ungeachtet seiner politischen Einstellung, Gültigkeit besitzen."
69,Die Unabhängigkeit der Justiz ist sicherzustellen.
70,Der Schutz der Opfer von Gewaltverbrechen ist zu gewährleisten.
71,Lebenslange Freiheitsstrafe muß tatsächlich lebenslangen Freiheitsentzug bedeuten.
72,"Die Freiheit
der Wissenschaft, insbesondere der Geschichtsforschung, ist staatlich zu garantieren."
73,"Der Ehrenschutz des deutschen Volkes ist
wirksam zu gewährleisten."
74,"Rechtsfreie
Räume darf es deshalb nicht geben, weil
damit die Autorität und Legitimität der ausführenden Gewalt relativiert wird."
75,"Entsprechende Verpflichtungen,
die der Bundesrepublik aus der Anerkennung
des „internationalen Haftbefehls“ erwachsen,
sind erforderlichenfalls zu kündigen."
76,"Verstöße gegen
das Betäubungsmittelgesetz sind härter zu
ahnden."
77,"Die NPD
befürwortet die Einführung einer deutschlandweiten, öffentlich einsehbaren Sexualstraftäter-Datei sowie die gesetzliche Möglichkeit der Kastration von Pädophilen."
78,"Privatisierungen im Strafvollzug
lehnt die NPD mit Nachdruck ab."
79,Die NPD lehnt deshalb alle Privatisierungsvorhaben im Verteidigungsressort mit Nachdruck ab.
80,"### d) Friedenssicherung

Angesichts der weltweiten Verbreitung
von Nuklearwaffen ist im Rahmen eines zu
schaffenden Europäischen Sicherheitssystems auch der Tatsache Rechnung zu tragen, daß erst bei Besitz und der Fähigkeit zur Anwendung von Atomwaffen von einer vollständigen staatlichen Souveränität
zu sprechen ist."
81,"Oberster Grundsatz ist hierbei, im Verteidigungsfall unter Wahrung des Völkerrechts das Selbstbestimmungsrecht des deutschen Volkes wie auch der
europäischen Völker zu verteidigen."
82,"### f) Versorgung als Ehrenpflicht
Die Versorgung von Kriegsteilnehmern und
ihren Angehörigen ist eine Ehrenpflicht des
deutschen Volkes.

"
